Q510383,"Q15974311, Q4421","Q3000, Q479387",58.49 (2017-12-31T00:00:00Z),,Point(10.3731 53.5422),"0 (1975-12-31T00:00:00Z), 0 (2017-12-31T00:00:00Z)",,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Sachsenwald%20in%20RZ.svg,RZ,21521,,,,,4105163-4,2842497,324110,,,01053105,010539105105,Sachsenwald,Sachsenwald,Sachsenwald,gemeindefreies Gebiet in Schleswig-Holstein,"forest near Hamburg, Germany",,https://de.wikipedia.org/wiki/Sachsenwald,https://en.wikipedia.org/wiki/Sachsenwald,https://fr.wikipedia.org/wiki/Sachsenwald,Schleswig-Holstein,Kreis Herzogtum Lauenburg,None,
Q9149316,Q15974311,Q6041,5.79 (2017-12-31T00:00:00Z),,Point(10.7667 52.2),0 (2017-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Am%20gro%C3%9Fen%20Rhode%20in%20WF.svg,,,,,,,,,2017007,,,03158501,031589501501,Am Großen Rhode,Am Großen Rhode,,gemeindefreies Gebiet in Niedersachsen,unincorporated area in Lower Saxony,,https://de.wikipedia.org/wiki/Am_Gro%C3%9Fen_Rhode,,,Niedersachsen,Landkreis Wolfenbüttel,None,
Q9369060,Q15974311,Q6041,5.81 (2017-12-31T00:00:00Z),,Point(10.880794444 52.163016666),0 (2017-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Voigtsdahlum%20in%20WF.svg,,,,,,,,,2013341,,,03158503,031589503503,Voigtsdahlum,Voigtsdahlum,,gemeindefreies Gebiet in Niedersachsen,unincorporated area in Lower Saxony,,https://de.wikipedia.org/wiki/Voigtsdahlum,,,Niedersachsen,Landkreis Wolfenbüttel,None,
Q9334530,Q15974311,Q6047,11.93 (2017-12-31T00:00:00Z),,Point(10.920828 52.147088),0 (2017-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Sch%C3%B6ningen%20%28gemeindefrei%29%20in%20HE.svg,,,,,,,,,1614222,,,03154506,031549506506,Schöningen,Schöningen,,unbewohntes gemeindefreies Gebiet im Landkreis Helmstedt,unincorporated area in Lower Saxony,,https://de.wikipedia.org/wiki/Sch%C3%B6ningen_(gemeindefreies_Gebiet),,,Niedersachsen,Landkreis Helmstedt,None,
Q11751857,Q15974311,Q6047,8.91 (2017-12-31T00:00:00Z),,Point(10.7833 52.2167),0 (2017-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/K%C3%B6nigslutter%20%28gemeindefrei%29%20in%20HE.svg,,,,,,,,,1614221,,,03154503,031549503503,Königslutter,Königslutter,Königslutter,Gemeindefreies Gebiet im Landkreis Helmstedt,unincorporated area in Lower Saxony,,https://de.wikipedia.org/wiki/K%C3%B6nigslutter_(gemeindefreies_Gebiet),,,Niedersachsen,Landkreis Helmstedt,None,
Q825136,Q15974311,Q6053,10.38 (2017-12-31T00:00:00Z),,Point(10.9433 52.5183),0 (2017-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Giebel%20%28gemfr.%20Gebiet%29%20in%20GF.svg,,,,,,,,,1337352,,,03151501,031519501501,Giebel,Giebel,Giebel,"gemeindefreies Gebiet im Landkreis Gifhorn, Niedersachsen, Deutschland",unincorporated area in Germany,,https://de.wikipedia.org/wiki/Giebel_(gemeindefreies_Gebiet),,,Niedersachsen,Landkreis Gifhorn,None,
Q11714078,"Q1499928, Q15974311",Q10458,14.81,,Point(9.8 49.7433),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Irtenberger%20Wald%20in%20W%C3%9C.svg,,,,,,,,,180693,,,09679453,096799453453,Irtenberger Wald,Irtenberger Wald,Irtenberger Wald,Gemeindefreies Gebiet im unterfränkischen Landkreis Würzburg in Deutschland,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Irtenberger_Wald,,,Bayern,Landkreis Würzburg,None,
Q1368974,Q15974311,Q10461,8.56,,Point(10.4897 49.9125),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Wustvieler%20Forst%20in%20SW.svg,,,,,,,,,2593301,,,09678457,096789457457,Wustvieler Forst,Wustvieler Forst,Wustvieler Forst,gemeindefreies Gebiet im Landkreis Schweinfurt in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Wustvieler_Forst,,,Bayern,Landkreis Schweinfurt,None,
Q9183010,Q15974311,Q10461,7.99,,Point(10.45 49.8833),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/B%C3%BCrgerwald%20in%20SW.svg,,,,,,,,,1066097,,,09678451,096789451451,Bürgerwald,Bürgerwald,Bürgerwald,gemeindefreies Gebiet im Landkreis Schweinfurt in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/B%C3%BCrgerwald_(Landkreis_Schweinfurt),,,Bayern,Landkreis Schweinfurt,None,
Q9294980,Q15974311,Q10461,11.1,,Point(10.472252777 49.934938888),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Hundelshausen%20%28Bayern%29%20in%20SW.svg,,,,,,,,,2593292,,,09678453,096789453453,Hundelshausen,Hundelshausen,Hundelshausen,gemeindefreies Gebiet im Landkreis Schweinfurt in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Hundelshausen_(gemeindefreies_Gebiet),,,Bayern,Landkreis Schweinfurt,None,
Q11792799,Q15974311,Q10461,1.22,,Point(10.4333 49.89),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Nonnenkloster%20%28Unterfranken%29%20in%20SW.svg,,,,,,,,,2593293,,,09678454,096789454454,Nonnenkloster,Nonnenkloster,Nonnenkloster,gemeindefreies Gebiet im Landkreis Schweinfurt in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Nonnenkloster_(Unterfranken),,,Bayern,Landkreis Schweinfurt,None,
Q1387791,Q15974311,Q10466,5.05 (2018-12-31T00:00:00Z),,Point(9.78616 50.3555),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Mottener%20Forst-S%C3%BCd%20in%20KG.svg,,,,,,,,,384316,,,09672461,096729461461,Mottener Forst-Süd,Mottener Forst-Süd,Mottener Forst-Süd,gemeindefreies Gebiet im Landkreis Bad Kissingen in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Mottener_Forst-S%C3%BCd,,,Bayern,Landkreis Bad Kissingen,None,
Q1498706,Q15974311,Q10466,19.61 (2018-12-31T00:00:00Z),,Point(9.8295 50.2334),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Geiersnest-Ost%20in%20KG.svg,,,,,,,,,2603857,,,09672455,096729455455,Geiersnest-Ost,Geiersnest-Ost,Geiersnest-Ost,gemeindefreies Gebiet im Landkreis Bad Kissingen in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Geiersnest-Ost,,,Bayern,Landkreis Bad Kissingen,None,
Q1572292,Q15974311,Q10466,3.76 (2018-12-31T00:00:00Z),,Point(9.83693 50.311),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/R%C3%B6mershager%20Forst-Ost%20in%20KG.svg,,,,,,,,,384301,,,09672465,096729465465,Römershager Forst-Ost,Römershager Forst-Ost,Römershager Forst-Ost,gemeindefreies Gebiet im Landkreis Bad Kissingen in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/R%C3%B6mershager_Forst-Ost,,,Bayern,Landkreis Bad Kissingen,None,
Q1572793,Q15974311,Q10466,12.92 (2018-12-31T00:00:00Z),,Point(9.79551 50.3342),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/R%C3%B6mershager%20Forst-Nord%20in%20KG.svg,,,,,,,,,384317,,,09672464,096729464464,Römershager Forst-Nord,Römershager Forst-Nord,Römershager Forst-Nord,gemeindefreies Gebiet im Landkreis Bad Kissingen in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/R%C3%B6mershager_Forst-Nord,,,Bayern,Landkreis Bad Kissingen,None,
Q1573518,"Q1499928, Q15974311",Q10466,21.15 (2018-12-31T00:00:00Z),,Point(9.711080555 50.197388888),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ro%C3%9Fbacher%20Forst%20in%20KG.svg,,,,,,,,,384335,,,09672466,096729466466,Roßbacher Forst,Roßbacher Forst,Roßbacher Forst,gemeindefreies Gebiet im Landkreis Bad Kissingen in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Ro%C3%9Fbacher_Forst,,,Bayern,Landkreis Bad Kissingen,None,
Q20026589,Q15974311,Q10466,2.34 (2018-12-31T00:00:00Z),,Point(9.6829 50.2697),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/K%C3%A4lberberg%20%28Unterfranken%29%20in%20KG.svg,,,,,,,,,2602733,,,09672458,096729458458,Gemeindefreies Gebiet Kälberberg,Kälberberg,Kälberberg,gemeindefreies Gebiet im Landkreis Bad Kissingen in Bayern,"unincorporated area in Unterfranken, Germany",,https://de.wikipedia.org/wiki/K%C3%A4lberberg_(gemeindefreies_Gebiet),,,Bayern,Landkreis Bad Kissingen,None,
Q1009365,Q15974311,Q10465,18.05,,Point(10.453 50.2245),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Bundorfer%20Forst%20in%20NES.svg,,,,,,,,,1156762,,,09673451,096739451451,Bundorfer Forst,Bundorfer Forst,Bundorfer Forst,gemeindefreies Gebiet im Landkreis Rhön-Grabfeld in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Bundorfer_Forst,,,Bayern,Landkreis Rhön-Grabfeld,None,
Q1428319,Q15974311,Q10465,2.53,,Point(10.4309 50.2291),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Sulzfelder%20Forst%20in%20NES.svg,,,,,,,,,1156760,,,09673457,096739457457,Sulzfelder Forst,Sulzfelder Forst,Sulzfelder Forst,gemeindefreies Gebiet im Landkreis Rhön-Grabfeld in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Sulzfelder_Forst,,,Bayern,Landkreis Rhön-Grabfeld,None,
Q1553053,Q15974311,Q10465,4.14,,Point(10.1997 50.5157),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Mellrichstadter%20Forst%20in%20NES.svg,,,,,,,,,1066099,,,09673455,096739455455,Mellrichstadter Forst,Mellrichstadter Forst,Mellrichstadter Forst,gemeindefreies Gebiet im Landkreis Rhön-Grabfeld in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Mellrichstadter_Forst,,,Bayern,Landkreis Rhön-Grabfeld,None,
Q9261543,Q15974311,Q10465,1.69,,Point(10.029738888 50.354383333),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Forst%20Schmalwasser-Nord%20in%20NES.svg,,,,,,,,,1156761,,,09673453,096739453453,Forst Schmalwasser-Nord,Forst Schmalwasser-Nord,Forst Schmalwasser-Nord,gemeindefreies Gebiet im Landkreis Rhön-Grabfeld in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Forst_Schmalwasser-Nord,,,Bayern,Landkreis Rhön-Grabfeld,None,
Q964085,Q15974311,Q10471,17.48 (2018-12-31T00:00:00Z),,Point(9.29967 50.0917),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Sch%C3%B6llkrippener%20Forst%20in%20AB.svg,,,,,,,,,534769,,,09671459,096719459459,Schöllkrippener Forst,Schöllkrippener Forst,Schöllkrippener Forst,gemeindefreies Gebiet im Landkreis Aschaffenburg in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Sch%C3%B6llkrippener_Forst,,,Bayern,Landkreis Aschaffenburg,None,
Q964633,"Q1499928, Q15974311",Q10471,20.4 (2018-12-31T00:00:00Z),,Point(9.35863 50.0019),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Forst%20Hain%20im%20Spessart%20in%20AB.svg,,,,,,,,,2610204,,,09671451,096719451451,Forst Hain im Spessart,Forst Hain im Spessart,Forst Hain im Spessart,gemeindefreies Gebiet im Landkreis Aschaffenburg in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Forst_Hain_im_Spessart,,,Bayern,Landkreis Aschaffenburg,None,
Q964660,"Q1499928, Q15974311",Q10471,25.87 (2018-12-31T00:00:00Z),,Point(9.37265 50.052688888),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Heinrichsthaler%20Forst%20in%20AB.svg,,,,,,,,,534767,,,09671453,096719453453,Heinrichsthaler Forst,Heinrichsthaler Forst,Heinrichsthaler Forst,gemeindefreies Gebiet im Landkreis Aschaffenburg in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Heinrichsthaler_Forst,,,Bayern,Landkreis Aschaffenburg,None,
Q964723,"Q1499928, Q15974311",Q10471,19.53 (2018-12-31T00:00:00Z),,Point(9.33091 50.118),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Wiesener%20Forst%20in%20AB.svg,,,,,,,,,534770,,,09671461,096719461461,Wiesener Forst,Wiesener Forst,Wiesener Forst,gemeindefreies Gebiet im Landkreis Aschaffenburg in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Wiesener_Forst,,,Bayern,Landkreis Aschaffenburg,None,
Q1438219,"Q1499928, Q15974311",Q10469,23.42,,Point(9.55862 50.1966),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Forst%20Aura%20in%20MSP.svg,,,,,,,,,2602714,,,09677453,096779453453,Forst Aura,Forst Aura,Forst Aura,gemeindefreies Gebiet im Landkreis Main-Spessart in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Forst_Aura,,,Bayern,Landkreis Main-Spessart,None,
Q1440689,"Q1499928, Q15974311",Q10469,16.8,,Point(9.48841 50.0805),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Frammersbacher%20Forst%20in%20MSP.svg,,,,,,,,,2604663,,,09677455,096779455455,Frammersbacher Forst,Frammersbacher Forst,Frammersbacher Forst,gemeindefreies Gebiet im Landkreis Main-Spessart in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Frammersbacher_Forst,,,Bayern,Landkreis Main-Spessart,None,
Q1500403,"Q1499928, Q15974311",Q10469,23.11,,Point(9.52 50.2208),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Gemeindefreies%20Gebiet%20Burgjo%C3%9F%20in%20MSP.svg,,,,,,,,,2604369,,,09677452,096779452452,Burgjoß,Burgjoß,Burgjoß,gemeindefreies Gebiet im Landkreis Main-Spessart in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Burgjo%C3%9F_(gemeindefreies_Gebiet),,,Bayern,Landkreis Main-Spessart,None,
Q1589833,"Q15974311, Q4421",Q10469,3.13 (2018-12-31T00:00:00Z),,Point(9.4812 50.0895),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Haurain%20in%20MSP.svg,,,,,,,,2908995,2604370,,,09677457,096779457457,Haurain,Haurain,Haurain,gemeindefreies Gebiet im Landkreis Main-Spessart in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Haurain,,,Bayern,Landkreis Main-Spessart,None,
Q1805087,"Q1499928, Q15974311",Q10469,8.66,,Point(9.62789 50.0667),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Langenprozeltener%20Forst%20in%20MSP.svg,,,,,,,,,2607442,,,09677459,096779459459,Langenprozeltener Forst,Langenprozeltener Forst,Langenprozeltener Forst,gemeindefreies Gebiet im Landkreis Main-Spessart in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Langenprozeltener_Forst,,,Bayern,Landkreis Main-Spessart,None,
Q1090964,"Q1499928, Q15974311",Q10472,4.11,,Point(9.17925 49.8277),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Gemeindefreies%20Gebiet%20Forstwald%20in%20MIL.svg,,,,,,,,,394528,,,09676452,096769452452,Forstwald,Forstwald,Forstwald,gemeindefreies Gebiet im Landkreis Miltenberg in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Gemeindefreies_Gebiet_Forstwald,,,Bayern,Landkreis Miltenberg,None,
Q865461,Q15974311,Q10447,3.24 (2018-12-31T00:00:00Z),,Point(10.7583 49.7306),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Gemeindefreies%20Gebiet%20Birkach%20in%20ERH.svg,,,,,,,,,1016538,,,09572451,095729451451,Birkach,Birkach,Birkach,gemeindefreies Gebiet im Landkreis Erlangen-Höchstadt in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Birkach_(gemeindefreies_Gebiet),,,Bayern,Landkreis Erlangen-Höchstadt,None,
Q1245519,Q15974311,Q10447,10.17 (2018-12-31T00:00:00Z),,Point(11.0908 49.5633),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Dormitzer%20Forst%20in%20ERH.svg,,,,,,,,,1016537,,,09572453,095729453453,Dormitzer Forst,Dormitzer Forst,Dormitzer Forst,gemeindefreies Gebiet im Landkreis Erlangen-Höchstadt in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Dormitzer_Forst,,,Bayern,Landkreis Erlangen-Höchstadt,None,
Q1438227,Q15974311,Q10447,10.81 (2018-12-31T00:00:00Z),,Point(11.05 49.5564),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Forst%20Tennenlohe%20in%20ERH.svg,,,,,,,,,1016510,,,09572455,095729455455,Forst Tennenlohe,Forst Tennenlohe,Forst Tennenlohe,gemeindefreies Gebiet im Landkreis Erlangen-Höchstadt in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Forst_Tennenlohe,,,Bayern,Landkreis Erlangen-Höchstadt,None,
Q1722095,Q15974311,Q10447,6.1 (2018-12-31T00:00:00Z),,Point(11.1156 49.5333),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Kalchreuther%20Forst%20in%20ERH.svg,,,,,,,,,1016523,,,09572457,095729457457,Kalchreuther Forst,Kalchreuther Forst,Kalchreuther Forst,gemeindefreies Gebiet im Landkreis Erlangen-Höchstadt in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Kalchreuther_Forst,,,Bayern,Landkreis Erlangen-Höchstadt,None,
Q1899863,Q15974311,Q10447,20.94 (2018-12-31T00:00:00Z),,Point(10.9614 49.6611),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Gemeindefreies%20Gebiet%20Mark%20in%20ERH.svg,,,,,,,,,1016526,,,09572459,095729459459,Mark,Mark,Mark,gemeindefreies Gebiet im Landkreis Erlangen-Höchstadt in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Mark_(gemeindefreies_Gebiet),,,Bayern,Landkreis Erlangen-Höchstadt,None,
Q1438221,Q15974311,Q10451,13.91 (2018-12-31T00:00:00Z),,Point(11.1364 49.3775),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Forst%20Kleinschwarzenlohe%20in%20RH.svg,,,,,,,,,64572,,,09576453,095769453453,Forst Kleinschwarzenlohe,Forst Kleinschwarzenlohe,Forst Kleinschwarzenlohe,gemeindefreies Gebiet im Landkreis Roth in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Forst_Kleinschwarzenlohe,,,Bayern,Landkreis Roth,None,
Q15325187,"Q15974311, Q4421",Q10451,3.16 (2018-12-31T00:00:00Z),,Point(10.980497222 49.23055),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Abenberger%20Wald%20in%20RH.svg,,,,,,,,2959854,158410,,,09576451,095769451451,Abenberger Wald,Abenberger Wald,Abenberger Wald,gemeindefreies Gebiet im Landkreis Roth in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Abenberger_Wald,,,Bayern,Landkreis Roth,None,
Q20514359,Q15974311,Q10451,3.23 (2018-12-31T00:00:00Z),,Point(10.99614 49.28515),0 (2018-12-31T00:00:00Z),,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Heidenberg%20in%20RH.svg,,,,,,,,,158268,,,09576454,095769454454,Heidenberg,Heidenberg,Heidenberg,gemeindefreies Gebiet im Landkreis Roth in Bayern,unincorporated area in Germany,,https://de.wikipedia.org/wiki/Heidenberg_(gemeindefreies_Gebiet),,,Bayern,Landkreis Roth,None,
